# Bideau-Mehu 1973
# 273 K, 101325 Pa
# wl(um)	n
0.1807	1.0005511392965
0.1958	1.0005307566073
0.2110	1.0005158241128
0.2261	1.0005045770599
0.2413	1.0004957372035
0.2564	1.0004887237236
0.2715	1.0004830145996
0.2867	1.0004782675095
0.3018	1.0004743212134
0.3169	1.0004709796105
0.3321	1.0004681046295
0.3472	1.0004656422063
0.3624	1.0004634882855
0.3775	1.0004616158487
0.3926	1.0004599661373
0.4078	1.0004584950913
0.4229	1.0004571936391
0.4380	1.0004560284268
0.4532	1.0004549738379
0.4683	1.0004540278644
0.4835	1.0004531645796
0.4986	1.000452384167
0.5137	1.0004516712586
0.5289	1.0004510136925
0.5440	1.00045041322
0.5592	1.0004498558989
0.5743	1.0004493439316
0.5894	1.0004488690745
0.6046	1.0004484246442
0.6197	1.0004480130911
0.6348	1.0004476284183
0.6500	1.0004472656991
0.6651	1.0004469273812
0.6803	1.0004466069034
0.6954	1.0004463066487
0.7105	1.0004460228182
0.7257	1.0004457522228
0.7408	1.0004454971105
0.7559	1.0004452544798
0.7711	1.000445021778
0.7862	1.0004448011064
0.8014	1.0004445886652
0.8165	1.0004443864613
0.8316	1.0004441923534
0.8468	1.0004440044793
0.8619	1.0004438247154
0.8770	1.0004436512599
0.8922	1.0004434825247
0.9073	1.000443320272
0.9225	1.0004431619283
0.9376	1.0004430091896
0.9527	1.000442860643
0.9679	1.0004427150142
0.9830	1.0004425739139
0.9982	1.0004424351878
1.013	1.0004423030488
1.028	1.0004421718437
1.044	1.0004420346607
1.059	1.0004419084294
1.074	1.000441784302
1.089	1.0004416620984
1.104	1.0004415416498
1.119	1.0004414227975
1.134	1.0004413053927
1.150	1.0004411815985
1.165	1.00044106675
1.180	1.0004409529438
1.195	1.0004408400624
1.210	1.0004407279947
1.225	1.0004406166351
1.240	1.0004405058835
1.255	1.0004403956446
1.271	1.0004402785194
1.286	1.0004401690571
1.301	1.000440059842
1.316	1.0004399507952
1.331	1.0004398418408
1.346	1.0004397329062
1.361	1.0004396239215
1.377	1.00043950754
1.392	1.0004393982408
1.407	1.0004392886922
1.422	1.0004391788332
1.437	1.0004390686052
1.452	1.0004389579508
1.467	1.0004388468143
1.483	1.0004387276762
1.498	1.0004386153728
1.513	1.0004385024247
1.528	1.000438388781
1.543	1.000438274392
1.558	1.0004381592087
1.573	1.0004380431827
1.589	1.0004379184393
1.604	1.0004378005217
1.619	1.000437681617
1.634	1.0004375616793
1.649	1.0004374406627
1.664	1.0004373185216
1.679	1.0004371952107
1.695	1.0004370623387
